show processes 
CPU utilization for five seconds: 2%/100%; one minute: 3%; five minutes: 4%
 PID QTy       PC Runtime (ms)    Invoked   uSecs    Stacks TTY Process
  67 Msp 6024A5C4         1308        339    3858 5232/6000   0 Per-minute Jobs 
  68 Msp 6024A564          440      10096      43 7456/9000   0 Per-Second Jobs 
  69 Mst 626F3E68            0          6       0 5532/6000   0 Transport Port A
  70 Mwe 63A11790        15644       2017    7756 5676/6000   0 HC Counter Timer
  71 Lwe 6003B8B4            0          1       0 5540/6000   0 Coproc Event Pro
  72 Hwe 601C6208            4          1    4000 5664/6000   0 POS APS Event Pr
  73 Hst 600A7180            0          1       0 5760/6000   0 SONET alarm time
  74 Hwe 6053C3C8            0          1       0 5776/6000   0 CSP Timer       
  75 Mwe 6067155C            0          1       0 5784/6000   0 FPD Management P
  76 Mwe 60671824            0          1       0 5612/6000   0 FPD Action Proce
  77 Hwe 60BA1690            8          2    4000 5160/6000   0 VNM DSPRM MAIN  
  78 Mwe 60CD7F60            0          2       0 5176/6000   0 VMI Background  
  79 Mwe 60DEE0D8            4          1    4000 5772/6000   0 RF_INTERDEV_DELA
  80 Mwe 60DF0F64            0          1       023128/24000  0 RF_INTERDEV_SCTP
  81 Mwe 64310764           12          4    3000 7036/9000   0 EEM ED Identity 
  82 Mwe 64310764           40         19    2105 7044/9000   0 EEM ED ND       
  83 Msp 64D7BD54           24      10093       2 8760/9000   0 ISA Common Helpe
  84 Mwe 60188C88            0          2       0 5324/6000   0 Flash MIB Update
  85 Mwe 60188BA0            0          1       0 5652/6000   0 Flash Card Oir  
  86 Mwe 60DEAD2C            4          1    400023112/24000  0 CF_INTERDEV_SCTP
  87 Hwe 6003E858            0          2       011296/12000  0 Ethernet CFM    
  88 Mwe 6003E908           80       9853       811288/12000  0 Ethernet Timer C
  89 Hwe 602FA720            0          1       0 5632/6000   0 delayed evt hand
  90 Mwe 60E5A138            0          4       0 5132/6000   0 AAA Server      
  91 Mwe 60E55880            0          1       0 5756/6000   0 AAA ACCT Proc   
  92 Mwe 60E55AA8            4          1    4000 5280/6000   0 ACCT Periodic Pr
  93 Mwe 60E69804            0          1       0 5592/6000   0 AAA System Acct 
  94 Mwe 6183CF38           36       1672      21 5084/6000   0 CDP Protocol    
  95 Mwe 6194468C            0          2       0 5280/6000   0 AAA Dictionary R
  96 Mwe 61D2A388            4          2    2000 8296/9000   0 Ethernet OAM Pro
  97 Lwe 61EACEA4            0          2       011352/12000  0 CEF switching ba
  98 Lwe 61EACEA4            0          1       0 2352/3000   0 ADJ NSF process 
  99 Hwe 60F04B50            4          2    200011268/12000  0 ATM OAM Input   
 100 Hwe 60F03B9C            0          2       011272/12000  0 ATM OAM TIMER   
 101 Mwe 63CCC44C            4          2    2000 5308/6000   0 IPAM/ODAP Events
 102 Mwe 622E9668         3240     314004      1011256/12000  0 IPAM Manager    
 103 Mwe 63CCC44C            0          2       011308/12000  0 IPAM Events     
 104 Mwe 62355A94           28          5    5600 8944/12000  0 IP ARP Adjacency
 105 Mwe 62356AA8            0          1       0 5280/6000   0 IP ARP Retry Age
 106 Mrd 62327E08         1216       1065    1141 8968/12000  0 IP Input        
 107 Mwe 6235FFA0            0          1       0 5756/6000   0 ICMP event handl
 108 Mwe 626C20A0            0          4       0 5268/6000   0 TurboACL        
 109 Hwe 626C21FC            0          2       0 5292/6000   0 TurboACL chunk  
 110 Mwe 6282A448            0          3       0 5244/6000   0 PIM register asy
 111 Mwe 628DDAB0            0          1       0 5744/6000   0 IPv6 ping proces
 112 Mwe 62D10478            4         19     210 5276/6000   0 MOP Protocols   
 113 Mwe 62DBB16C            0          2       0 5296/6000   0 OCE punted Pkts 
 114 Cwe 62F18C28            0          1       0 5780/6000   0 LSP Tunnel FRR  
 115 Mwe 62F1E468            0          1       0 8736/9000   0 MPLS Auto-Tunnel
 116 Mwe 6315E074            0          2       0 5264/6000   0 PPP SIP         
 117 Mwe 63CCC44C            0          2       0 5312/6000   0 PPP Bind        
 118 Mwe 63CCC44C            4          2    200011312/12000  0 PPP IP Route    
 119 Mwe 6358014C            0          1       0 8648/9000   0 HQF TUNNEL      
 120 Mwe 64A3E6A8            4          2    2000 4836/6000   0 SSH Event handle
 121 Mwe 63B4EA48            0          2       011296/12000  0 Spanning Tree   
 122 Lwe 63FFF218            0          1       0 5324/6000   0 X.25 Encaps Mana
 123 Mwe 6406C564            4          8     50011280/12000  0 SSM connection m
 124 Mwe 6409743C            0          1       0 5652/6000   0 AC Switch       
 125 Mwe 6416060C            0          1       011796/12000  0 SSS Manager     
 126 Mwe 6416DC1C            0          1       011784/12000  0 SSS Policy Manag
 127 Mwe 6414E358            0          1       0 5656/6000   0 SSS Feature Mana
 128 Mwe 6414E454          316      39417       8 5696/6000   0 SSS Feature Time
 129 Mwe 64401DE4            0          1       0 5752/6000   0 Auth-proxy AAA B
 130 Mwe 64411930            0       3364       0 5216/6000   0 Auth-proxy HTTP 
 131 Mwe 6440798C            4         34     117 5712/6000   0 IP Admin SM Proc
 132 Hwe 64421620            4          2    2000 8304/9000   0 EAPoUDP Process 
 133 Mwe 6474B0B8            0          2       011296/12000  0 KRB5 AAA        
 134 Mwe 61F14FEC            0        169       0 5672/6000   0 FRR Background P
 135 Lwe 61EACEA4            8        205      3911124/12000  0 CEF background p
 136 Hwe 61EACEA4            0          1       011348/12000  0 fib_fib_bfd_sb e
 137 Mwe 61EDBFC4            0          1       0 8324/9000   0 Tunnel FIB      
 138 Lwe 61F41ED8         7624      15544     490 9176/12000  0 CEF: IPv4 proces
 139 Lwe 61EACEA4            0          2       0 5352/6000   0 ADJ background  
 140 Lwe 61EACEA4            0          3       011352/12000  0 Collection proce
 141 Mwe 626D6750           12         55     21810000/12000  0 TCP Timer       
 142 Lwe 626F02E8           24          8    300010576/12000  0 TCP Protocols   
 143 Hwe 6269DA04            0          1       0 5772/6000   0 Socket Timers   
 144 Mwe 62258A90            4         34     11723224/24000  0 HTTP CORE       
 145 Hwe 605BB800            0          2       0 5296/6000   0 RLM groups Proce
 146 Mwe 63CCC44C            0          2       0 2312/3000   0 L2X Switching Ev
 147 Mwe 60723C40            0          2       023244/24000  0 Border Element p
 148 Mwe 6073C10C            8          2    400023196/24000  0 gk process      
 149 Mwe 60C6D718            0          1       0 5636/6000   0 ac_atm_state_eve
 150 Mwe 60C768F4            0          1       0 5640/6000   0 ac_atm_mraps_hsp
 151 Mwe 6237E960            0          1       0 5728/6000   0 IP Traceroute   
 152 Mwe 637BDB5C            0          2       011652/12000  0 Routing Topology
 153 Mwe 626560D4           24          3    8000 9332/12000  0 IP RIB Update   
 154 Mwe 625F60CC           32        171     187 7924/9000   0 IP Background   
 155 Mwe 62669778           36         20    1800 6956/9000   0 IP Connected Rou
 156 Mwe 639DFD1C            0          1       0 5744/6000   0 SNMP Timers     
 157 Mwe 63902EAC            8          3    2666 5216/6000   0 SCTP Main Proces
 158 Mwe 6381B370         1036      10076     102 5304/6000   0 RUDPV1 Main Proc
 159 Mwe 61078DB4            0          1       0 5752/6000   0 bsm_timers      
 160 Msi 61074B48          668      10077      66 5732/6000   0 bsm_xmt_proc    
 161 Mwe 6206C894            4          8     500 5272/6000   0 Flow Exporter Ti
 162 Hwe 63CCC44C            0          2       0 5308/6000   0 PPP Compress Inp
 163 Hwe 63CCC44C            0          2       0 5312/6000   0 PPP Compress Res
 164 Mwe 61903BA8            4          1    400059252/60000  0 COPS            
 165 Mwe 61B898F0            0          2       0 5280/6000   0 Dialer Forwarder
 166 Mwe 61DB8434            0          3       0 5028/6000   0 Service Routing 
 167 Mwe 61DCF9A4           24          6    4000 2020/6000   0 SR CapMan Proces
 168 Mwe 61EACEA4            8          6    133310064/12000  0 ADJ resolve proc
 169 Mwe 62534C70            4          2    2000 8280/9000   0 Multicast Offloa
 170 Mwe 625EA848            0          1       0 5660/6000   0 RARP Input      
 171 Mwe 6267CC4C            0          2       0 8256/9000   0 static          
 172 Lwe 61EACEA4            0          3       011348/12000  0 MFIB Master back
 173 Mwe 64310764            4        184      21 4628/6000   0 Call Home Timer 
 174 Mwe 60DA3498            0          1       0 5688/6000   0 xcpa-driver     
 175 Mwe 628C649C            4          1    4000 8612/9000   0 IPv6 RIB Event H
 176 Mwe 629A3C28            0          1       0 5780/6000   0 IPv6 Inspect Tim
 177 Mwe 64310764           44         44    1000 7248/9000   0 PMIPV6 Thread   
 178 Mwe 62A4C81C            0          1       0 8756/9000   0 IP IRDP         
 179 Mwe 62C45440            0          1       0 5796/6000   0 LAPB Process    
 180 Mwe 62FB165C            4          2    2000 5212/6000   0 LFDp Input Proc 
 181 Mwe 62FC8AD8            0          2       0 5276/6000   0 PPP NBF         
 182 Hwe 63109884            0          1       0 5600/6000   0 PAD InCall      
 183 Mwe 64001100            0          2       011268/12000  0 X.25 Background 
 184 Lwe 63170918         2004      10075     198 2348/3000   0 PfR BR Learn    
 185 Mwe 6344FCB4            4       1006       3 5188/6000   0 QoS stats proces
 186 Mwe 63586944            0          2       0 5692/6000   0 HQF Output Shape
 187 Mwe 63586A40            0          2       0 5700/6000   0 HQF Input Shaper
 188 Mwe 6360B3B8            4          3    1333 5272/6000   0 RBSCP Background
 189 Mwe 63B374F4           36          3   1200023092/24000  0 Media Services P
 190 Mwe 63F447B4            0          1       011728/12000  0 VPDN call manage
 191 Mwe 6443495C            0          1       011628/12000  0 IPS Process     
 192 Mwe 6448F74C            0          2       011252/12000  0 IPS Auto Update 
 193 Mwe 644ADA04            4          2    2000 5036/6000   0 SDEE Management 
 194 Mwe 6453D0E0          160      19702       8 5288/6000   0 Inspect process 
 195 M*         0         1904        389    4894 8344/12000  2 SSH Process     
 196 Mwe 64647660            8        651      12 5296/6000   0 FW DP Inspect pr
 197 Mwe 646848F0          168      19702       8 5284/6000   0 CCE DP URLF cach
 198 Mwe 6486AE08            8          2    4000 5276/6000   0 URL filter proc 
 199 Lwe 64D33F98            0          1       0 5656/6000   0 XSM_EVENT_ENGINE
 200 Lsi 64D31920           24       1009      2311600/12000  0 XSM_ENQUEUER    
 201 Lsi 64D34A68           20       1009      1911760/12000  0 XSM Historian   
 202 Hwe 64CF1FC4            0          1       0 5780/6000   0 Select Timers   
 203 Mwe 64CDFEB4          104          2   52000 4956/6000   0 HTTP Process    
 204 Mwe 64D1BD40            4          2    2000 5144/6000   0 CIFS API Process
 205 Mwe 64D1B960            4          2    2000 5272/6000   0 CIFS Proxy Proce
 206 Mwe 64D52C8C           16          1   16000 4872/6000   0 Crypto HW Proc  
 207 Mwe 60628264            0        406       0 5024/6000   0 CRM_CALL_UPDATE_
 208 Mwe 60CB67C0           96          2   48000 4992/6000   0 Diameter Base pr
 210 Mwe 618355A4            0          2       0 5296/6000   0 AAA Cached Serve
 211 Mwe 61CC7DB8            0          2       0 5296/6000   0 ENABLE AAA      
 212 Mwe 61DD12F8            0          1       0 5644/6000   0 EM Background Pr
 213 Mwe 6227F80C            0          1       0 5800/6000   0 IDMGR CORE      
 214 Mwe 622D8E98            4          3    1333 5256/6000   0 LDAP process    
 215 Mwe 62C0C43C            0          1       0 5772/6000   0 Key chain liveke
 216 Mwe 62C5BC68            0          2       0 5292/6000   0 LINE AAA        
 217 Mwe 62C6EB4C            0          4       0 5048/6000   0 LOCAL AAA       
 218 Mwe 62EB65C4            0          2       0 5760/6000   0 MPLS Auto Mesh P
 219 Mwe 63C1C7F4            4          2    2000 5272/6000   0 TPLUS           
 220 Mwe 63F8F0A4            4          2    2000 5292/6000   0 VSP_MGR         
 221 Mwe 646A1EB4            0          1       022212/24000  0 FW_TEST_TRP     
 222 Mwe 6472C184            0          1       0 5788/6000   0 EPM MAIN PROCESS
 223 Lsi 649E8D88           24          3    8000 4172/6000   0 NIST rng proc   
 224 Mwe 64A110EC            4          3    1333 6636/8000   0 Crypto WUI      
 225 Mwe 64AA0B88          260      19702      13 5232/6000   0 Timer Library   
 226 Mwe 64BF73CC            4          2    2000 5268/6000   0 Crypto Support  
 227 Mwe 64C5C2A0            0          1       0 5644/6000   0 IPSECv6 PS Proc 
 228 Mwe 607D78FC           44          2   22000 2076/6000   0 Proxy Session Ap
 229 Hwe 607F7828            4          1    400011164/12000  0 CCVPM_HTSP      
 230 Mwe 60832454            0          1       0 5300/6000   0 CCVPM_R2        
 231 Mwe 63E97E50            0          1       0 5496/6000   0 IP TRUST Registe
 232 Mwe 608DCCA4            0          1       0 5656/6000   0 EPHONE MWI Refre
 233 Mwe 6091A7E8            0         12       0 5664/6000   0 FB/KS Log HouseK
 234 Lwe 608DD4B0            0          1       0 5764/6000   0 EPHONE MWI BG Pr
 235 Mwe 609B4C64            0          1       0 5368/6000   0 Skinny HW confer
 236 Mwe 60ACABE0            0          2       020516/24000  0 CTI Front End Pr
 237 Mwe 60AAE714            0          2       0 5280/6000   0 CTI Call Control
 238 Mwe 60AC99C8            8          2    4000 5296/6000   0 CTI Line Monitor
 239 Mwe 60AC4F10            0          1       0 5648/6000   0 CME CTI Device M
 240 Mwe 61827914            0          1       0 5352/6000   0 CCSWVOICE       
 242 Mwe 6222B0D8            4          1    400059244/60000  0 http client proc
 244 Mwe 6334F914            0          2       0 5292/6000   0 CSDB Timer proce
 245 Mwe 635A55F8           12          1   12000 8348/9000   0 QOS_MODULE_MAIN 
 246 Mwe 636A0D3C            0          1       023284/24000  0 RPMS_PROC_MAIN  
 247 Mwe 63DD20AC            0          1       023548/24000  0 VoIP AAA        
 248 Mwe 63E1E020            8          2    4000 5168/6000   0 Dialog Manager  
 249 Mwe 6478153C            0          2       011288/12000  0 MMON PROCESS    
 250 Mwe 64799070         3516     315260      1111284/12000  0 MMON MENG       
 251 Lwe 649C9844          244         24   10166 4368/6000   0 crypto engine pr
 252 Mwe 648AF4C8          260          4   65000 8148/12000  0 Crypto CA       
 253 Mwe 648B0C98            0          1       011640/12000  0 Crypto PKI-CRL  
 254 Mwe 649F36C8            0          1       011664/12000  0 encrypt proc    
 255 Lwe 649F5824        12292       1026   11980 4044/6000   0 crypto sw pk pro
 256 Mwe 64B1E4B8            0          3       0 5284/6000   0 CRYPTO MAP FREE 
 257 Mwe 64B2DF3C            0          1       011656/12000  0 Crypto INT      
 258 Mwe 64B12400            4          3    133310980/12000  0 Crypto IKE Dispa
 259 Mwe 64B093BC           12          3    400011200/12000  0 Crypto IKMP     
 260 Mwe 64C18800            0          1       0 8776/9000   0 IPSEC manual key
 261 Mwe 64B41DBC          232        506     458 8916/12000  0 IPSEC key engine
 262 Mwe 64BEAE18            0          1       0 5784/6000   0 CRYPTO QoS proce
 263 Mwe 64B529B0            0          1       023640/24000  0 Crypto ACL      
 264 Mwe 64B5B774            0          1       0 5648/6000   0 Crypto PAS Proc 
 265 Mwe 64C22D7C            0          1       011628/12000  0 IPSec background
 266 Mwe 64B79910            8          2    4000 5264/6000   0 GDOI GM Process 
 267 Mwe 64BCB454            0          1       0 5724/6000   0 UNICAST REKEY   
 268 Mwe 64BCBBA0            0          1       0 5648/6000   0 UNICAST REKEY AC
 269 Lsi 601F5E40         2256      10075     223 5752/6000   0 cerf_daemon_proc
 270 Hwe 605092A8            0          1       0 5648/6000   0 IMA Traps       
 271 Mwe 60D194E0            0          1       0 5100/6000   0 SYSMGT Events   
 272 Mwe 60D64184            4          2    2000 5308/6000   0 Control-plane ho
 273 Mwe 612632D0            0          1       0 5356/6000   0 DATA Transfer Pr
 274 Mwe 61260780            0          1       0 5320/6000   0 DATA Collector  
 276 Mwe 619248A8            0          3       0 5252/6000   0 AAA SEND STOP EV
 277 Mwe 6192FB34            0          1       011756/12000  0 Test AAA Client 
 278 Mwe 61AE50D4            0          1       0 5344/6000   0 DCM Transfer Pro
 279 Mwe 61AE3A04            0          1       0 5316/6000   0 DCM Core Process
 280 Msi 63683E54            0       1010       0 5300/6000   0 RMON Recycle Pro
 281 Mwe 6368E6EC            4          2    2000 5296/6000   0 RMON Deferred Se
 282 Mwe 64310764           16          4    400010048/12000  0 EEM ED Media Ser
 283 Mwe 63B66C8C            0          1       0 5680/6000   0 Syslog Traps    
 284 Mwe 64310764           12          4    3000 7044/9000   0 EEM ED Routing  
 285 Mwe 64310764           52         24    2166 7040/9000   0 EEM ED Syslog   
 286 Mwe 64310764            8          4    2000 7044/9000   0 EEM ED NHRP     
 287 Mwe 64310764            8          4    2000 7040/9000   0 EEM ED Track    
 288 Mwe 64310764            4          4    1000 7032/9000   0 EEM ED Resource 
 289 Mwe 64B6B298           20        316      63 5064/6000   0 Crypto cTCP proc
 290 Mwe 6008DC74            4          1    4000 5020/6000   0 RMON Packets    
 291 Lsi 607E8D3C         2180      10056     216 5756/6000   0 trunk conditioni
 292 Hwe 607EAA0C            4          1    4000 5336/6000   0 trunk conditioni
 293 Mwe 64310764           76         46    1652 4084/6000   0 EEM Server      
 294 Mwe 64310764          140         33    4242 4568/6000   0 Call Home proces
 295 Mwe 62305264           24         12    200011276/12000  0 Syslog          
 296 Mwe 638F482C            0          1       0 5764/6000   0 IP SLAs Ethernet
 297 Mwe 63D3DCAC           44       2017      21 5700/6000   0 VDC process     
 298 Mwe 64310764           12          3    4000 7584/9000   0 EEM Policy Direc
 300 Mwe 64310764            0          4       0 7040/9000   0 EEM ED CLI      
 301 Mwe 64310764            0          4       0 7036/9000   0 EEM ED Counter  
 302 Mwe 64310764            8          4    2000 7032/9000   0 EEM ED Interface
 303 Mwe 64310764            0          4       0 7036/9000   0 EEM ED IOSWD    
 304 Mwe 64310764            4          4    1000 7040/9000   0 EEM ED None     
 305 Mwe 64310764            4          4    1000 7036/9000   0 EEM ED OIR      
 306 Mwe 64310764           16          9    1777 6824/9000   0 EEM ED RF       
 307 Mwe 64310764            4          4    1000 7032/9000   0 EEM ED SNMP     
 308 Mwe 64310764            0          4       0 7036/9000   0 EEM ED SNMP Obje
 309 Mwe 64310764            4          4    1000 7040/9000   0 EEM ED Ipsla    
 310 Mwe 64310764            4          4    1000 7044/9000   0 EEM ED SNMP Noti
 311 Mwe 64310764           12        173      69 7020/9000   0 EEM ED Timer    
 312 Mwe 64310764            8          4    2000 7064/9000   0 EEM ED Test     
 313 Mwe 64310764            8          4    2000 7064/9000   0 EEM ED Config   
 314 Mwe 64310764            8          4    2000 7064/9000   0 EEM ED Env      
 316 Mwe 64310764            8          4    2000 7012/9000   0 EEM ED Nf       
 317 Mwe 64310764            8          4    2000 7036/9000   0 EEM ED RPC      
 318 Mwe 62786728            8          2    400011140/12000  0 MRIB Process    
 319 Mwe 64D529F4            0          1       0 7764/8000   0 Key Proc        
 320 Mwe 6135446C            4         86      4658976/60000  0 CC-API_VCM      
 321 Mwe 6071A9B4         1784     100727      1758680/60000  0 CCPROXY_CT      
 322 Mwe 64310764           20          9    2222 4140/6000   0 EEM Helper Threa
R2#
